video_name,cq,vmaf,output_size,bitrate
crowd_run_2160p50_segment_001.mp4,15,99.44,74.63,0.00
crowd_run_2160p50_segment_001.mp4,20,99.45,74.64,0.00
crowd_run_2160p50_segment_001.mp4,25,93.14,24.82,0.00
crowd_run_2160p50_segment_001.mp4,30,93.18,24.81,0.00
crowd_run_2160p50_segment_001.mp4,35,93.36,24.80,0.00
crowd_run_2160p50_segment_001.mp4,40,86.93,16.71,0.00
CSGO_segment_000.mp4,10,97.65,20.95,46.98
CSGO_segment_000.mp4,15,97.62,6.25,11.44
CSGO_segment_000.mp4,20,97.57,2.85,4.24
CSGO_segment_000.mp4,25,97.39,1.53,1.53
CSGO_segment_000.mp4,30,97.18,0.98,0.00
CSGO_segment_000.mp4,35,96.76,0.70,0.00
CSGO_segment_000.mp4,40,96.17,0.54,0.00
CSGO_segment_001.mp4,10,99.77,66.76,67.41
CSGO_segment_001.mp4,15,99.72,46.74,46.36
CSGO_segment_001.mp4,20,99.69,29.96,26.69
CSGO_segment_001.mp4,25,97.1,11.84,15.25
CSGO_segment_001.mp4,30,96.92,10.74,0.00
CSGO_segment_001.mp4,35,93.31,7.41,3.60
CSGO_segment_001.mp4,40,86.04,4.67,0.00
CSGO_segment_002.mp4,10,99.96,73.06,237.68
CSGO_segment_002.mp4,15,99.96,55.74,220.21
CSGO_segment_002.mp4,20,99.95,35.51,87.11
CSGO_segment_002.mp4,25,96.54,12.28,50.34
CSGO_segment_002.mp4,30,96.68,12.23,35.95
CSGO_segment_002.mp4,35,93,8.93,20.98
CSGO_segment_002.mp4,40,84.3,5.66,12.59
CSGO_segment_003.mp4,10,99.99,69.82,230.69
CSGO_segment_003.mp4,15,99.99,44.24,116.15
CSGO_segment_003.mp4,20,99.99,28.10,0.00
CSGO_segment_003.mp4,25,99.47,12.34,41.95
CSGO_segment_003.mp4,30,99.03,10.91,41.95
CSGO_segment_003.mp4,35,95.86,6.94,17.98
CSGO_segment_003.mp4,40,89.48,4.41,0.00
CSGO_segment_004.mp4,10,99.96,64.85,157.29
CSGO_segment_004.mp4,15,99.95,40.81,113.25
CSGO_segment_004.mp4,20,99.92,25.97,62.92
CSGO_segment_004.mp4,25,99.26,12.35,29.04
CSGO_segment_004.mp4,30,98.79,10.07,19.36
CSGO_segment_004.mp4,35,95.22,6.33,14.80
CSGO_segment_004.mp4,40,89.19,3.99,9.68
CSGO_segment_005.mp4,10,99.99,70.73,125.83
CSGO_segment_005.mp4,15,99.99,47.20,80.89
CSGO_segment_005.mp4,20,99.94,30.12,53.93
CSGO_segment_005.mp4,25,97.26,12.43,25.17
CSGO_segment_005.mp4,30,97.24,11.33,10.94
CSGO_segment_005.mp4,35,93.48,7.28,6.62
CSGO_segment_005.mp4,40,87.47,4.56,4.84
CSGO_segment_006.mp4,10,99.96,73.20,302.00
CSGO_segment_006.mp4,15,99.96,52.35,440.42
CSGO_segment_006.mp4,20,99.95,33.15,0.00
CSGO_segment_006.mp4,25,97.26,12.27,62.92
CSGO_segment_006.mp4,30,97.32,12.14,0.00
CSGO_segment_006.mp4,35,93.07,8.28,0.00
CSGO_segment_006.mp4,40,85.18,5.24,25.17
CSGO_segment_007.mp4,10,99.82,66.97,283.12
CSGO_segment_007.mp4,15,99.8,47.34,215.71
CSGO_segment_007.mp4,20,99.74,30.20,110.10
CSGO_segment_007.mp4,25,97.96,12.12,83.89
CSGO_segment_007.mp4,30,97.83,11.15,34.32
CSGO_segment_007.mp4,35,94,7.60,17.98
CSGO_segment_007.mp4,40,86.47,4.85,0.00
CSGO_segment_008.mp4,10,98.95,56.34,133.69
CSGO_segment_008.mp4,15,98.88,37.88,77.44
CSGO_segment_008.mp4,20,98.65,24.16,44.94
CSGO_segment_008.mp4,25,97.94,10.89,31.46
